TANGGAL;ISSUE;TEKNISI;ACTION_PLAN;SPARE_PART;DURATION_MINUTES
27/03/2025;FEEDER ELEKTRIK;ACA;GANTI BEARING IMPRESSION ROLL;YA;30
09/04/2025;PHOTOCELL SENSOR ERROR;"SAMSUL
AGUS";GANTI BEARING IMPRESSION ROLL;TIDAK;22
15/04/2025;PRINTING BOTAK;"BENJHONSON
BUDI
RIZKI";GANTI OIL GEAR BOX;YA;43
04/08/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BUDI;GANTI OIL GEAR BOX;TIDAK;11
19/02/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;AGUS;GANTI BEARING IMPRESSION ROLL;YA;15
11/12/2024;PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;15
10/07/2025;PHOTOCELL SENSOR ERROR;RIZKI;ADJUSTMENT PRINTING PRESSURE;TIDAK;6
09/12/2024;GEAR BOX FEEDER PROBLEM;"JOKO
RIZKI
FIKRI";CLEANING & ADJUSTMENT PREFEEDER;YA;25
02/08/2025;GEAR BOX FEEDER PROBLEM;FIKRI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;25
22/12/2024;PREFEEDER FLEXO 4 ABNORMAL;"BUDI
RIZKI
INDARYONO";PERBAIKAN WIRING FEEDER;YA;20
02/11/2024;PRINTING BOTAK;FIKRI;ADJUSTMENT PRINTING PRESSURE;TIDAK;17
14/06/2025;FEEDER ELEKTRIK;FIKRI;ADJUSTMENT PRINTING PRESSURE;TIDAK;6
04/09/2025;FEEDER ELEKTRIK;"BUDI
RIZKI";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;14
19/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;AGUS;GANTI BEARING IMPRESSION ROLL;TIDAK;15
07/05/2025;GEAR BOX FEEDER PROBLEM;ACA;ADJUSTMENT PRINTING PRESSURE;YA;11
01/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;ACA;GANTI BEARING IMPRESSION ROLL;TIDAK;18
04/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PEPEN;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;28
22/08/2025;PREFEEDER FLEXO 4 ABNORMAL;"BENJHONSON
MAULANA
JOKO";ADJUSTMENT PRINTING PRESSURE;TIDAK;90
05/06/2025;PRINTING BOTAK;"INDARYONO
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;TIDAK;23
30/09/2025;FEEDER ELEKTRIK;"INDARYONO
SAMSUL
JOKO";ADJUSTMENT PRINTING PRESSURE;YA;25
28/02/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"JOKO
BUDI";GANTI OIL GEAR BOX;TIDAK;19
06/07/2025;PREFEEDER FLEXO 4 ABNORMAL;"BENJHONSON
ACA";ADJUSTMENT PRINTING PRESSURE;TIDAK;5
15/09/2024;PRINTING BOTAK;AGUS;GANTI OIL GEAR BOX;TIDAK;20
06/09/2025;PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
SAMSUL";PERBAIKAN WIRING FEEDER;YA;21
21/03/2025;FEEDER ELEKTRIK;"AGUS
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;143
09/11/2024;PHOTOCELL SENSOR ERROR;"PEPEN
INDARYONO";GANTI BEARING IMPRESSION ROLL;TIDAK;17
15/02/2025;PREFEEDER FLEXO 4 ABNORMAL;"ALIF
FIKRI";ADJUSTMENT PRINTING PRESSURE;TIDAK;25
21/09/2025;PHOTOCELL SENSOR ERROR;"ACA
MAULANA";ADJUSTMENT PRINTING PRESSURE;YA;19
19/09/2025;FEEDER ELEKTRIK;ALIF;CLEANING & ADJUSTMENT PREFEEDER;YA;8
31/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;YA;50
16/07/2025;PREFEEDER FLEXO 4 ABNORMAL;PEPEN;ADJUSTMENT PRINTING PRESSURE;YA;36
16/06/2025;PREFEEDER FLEXO 4 ABNORMAL;"DEDI
ACA";GANTI BEARING IMPRESSION ROLL;YA;38
08/07/2025;FEEDER ELEKTRIK;"DEDI
MAULANA
PEPEN";GANTI BEARING IMPRESSION ROLL;YA;10
24/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;GANTI OIL GEAR BOX;TIDAK;61
23/03/2025;GEAR BOX FEEDER PROBLEM;MAULANA;PERBAIKAN WIRING FEEDER;YA;7
23/10/2024;GEAR BOX FEEDER PROBLEM;AGUS;PERBAIKAN WIRING FEEDER;YA;32
17/06/2025;PHOTOCELL SENSOR ERROR;ALIF;PERBAIKAN WIRING FEEDER;TIDAK;115
05/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BUDI;GANTI OIL GEAR BOX;TIDAK;9
07/09/2024;PHOTOCELL SENSOR ERROR;"RIZKI
MAULANA";ADJUSTMENT PRINTING PRESSURE;TIDAK;13
23/07/2025;PHOTOCELL SENSOR ERROR;"DEDI
PEPEN";ADJUSTMENT PRINTING PRESSURE;YA;22
11/09/2025;FEEDER ELEKTRIK;"ACA
SAMSUL
BUDI";ADJUSTMENT PRINTING PRESSURE;TIDAK;13
12/04/2025;PHOTOCELL SENSOR ERROR;"SAMSUL
ACA
ALIF";CLEANING & ADJUSTMENT PREFEEDER;YA;6
21/01/2025;PRINTING BOTAK;FIKRI;ADJUSTMENT PRINTING PRESSURE;TIDAK;21
10/07/2025;GEAR BOX FEEDER PROBLEM;"ALIF
INDARYONO";ADJUSTMENT PRINTING PRESSURE;TIDAK;9
03/12/2024;PRINTING BOTAK;ALIF;GANTI BEARING IMPRESSION ROLL;TIDAK;29
22/01/2025;FEEDER ELEKTRIK;"ACA
BUDI
INDARYONO";PERBAIKAN WIRING FEEDER;YA;10
14/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"JOKO
RIZKI
BUDI";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;69
28/07/2025;GEAR BOX FEEDER PROBLEM;"RIZKI
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;11
23/12/2024;PRINTING BOTAK;"BENJHONSON
ACA
AGUS";PERBAIKAN WIRING FEEDER;TIDAK;15
01/05/2025;FEEDER ELEKTRIK;"ALIF
JOKO";GANTI OIL GEAR BOX;TIDAK;38
17/02/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"RIZKI
ACA
DEDI";GANTI BEARING IMPRESSION ROLL;YA;7
01/11/2024;GEAR BOX FEEDER PROBLEM;ALIF;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;24
26/09/2025;GEAR BOX FEEDER PROBLEM;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;57
20/01/2025;GEAR BOX FEEDER PROBLEM;"FIKRI
BUDI";PERBAIKAN WIRING FEEDER;TIDAK;6
22/10/2024;PHOTOCELL SENSOR ERROR;ACA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;23
01/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;DEDI;PERBAIKAN WIRING FEEDER;YA;25
19/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BUDI;GANTI BEARING IMPRESSION ROLL;YA;37
24/07/2025;PHOTOCELL SENSOR ERROR;"MAULANA
INDARYONO";PERBAIKAN WIRING FEEDER;TIDAK;7
29/04/2025;PRINTING BOTAK;"ALIF
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;7
03/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;JOKO;ADJUSTMENT PRINTING PRESSURE;YA;30
23/06/2025;GEAR BOX FEEDER PROBLEM;"INDARYONO
PEPEN
DEDI";PERBAIKAN WIRING FEEDER;TIDAK;25
14/10/2024;PREFEEDER FLEXO 4 ABNORMAL;BUDI;ADJUSTMENT PRINTING PRESSURE;TIDAK;24
03/07/2025;PHOTOCELL SENSOR ERROR;"BENJHONSON
BUDI";ADJUSTMENT PRINTING PRESSURE;TIDAK;26
15/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"JOKO
ACA";PERBAIKAN WIRING FEEDER;TIDAK;12
01/10/2024;FEEDER ELEKTRIK;"MAULANA
BENJHONSON
AGUS";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;24
05/08/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;25
09/10/2024;PREFEEDER FLEXO 4 ABNORMAL;JOKO;ADJUSTMENT PRINTING PRESSURE;TIDAK;11
29/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BENJHONSON;GANTI BEARING IMPRESSION ROLL;TIDAK;89
26/08/2025;PHOTOCELL SENSOR ERROR;"MAULANA
AGUS";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;29
18/07/2025;FEEDER ELEKTRIK;"FIKRI
BENJHONSON
JOKO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;8
25/12/2024;GEAR BOX FEEDER PROBLEM;ACA;CLEANING & ADJUSTMENT PREFEEDER;YA;34
01/10/2024;PREFEEDER FLEXO 4 ABNORMAL;SAMSUL;GANTI OIL GEAR BOX;TIDAK;9
26/01/2025;PRINTING BOTAK;RIZKI;GANTI OIL GEAR BOX;TIDAK;38
25/08/2025;PRINTING BOTAK;BUDI;PERBAIKAN WIRING FEEDER;TIDAK;51
13/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
JOKO";GANTI OIL GEAR BOX;TIDAK;10
07/07/2025;IMPRESSION FEED ROLL F4 ABNORMAL;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;43
28/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
SAMSUL
INDARYONO";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;28
24/05/2025;GEAR BOX FEEDER PROBLEM;"ACA
PEPEN";PERBAIKAN WIRING FEEDER;TIDAK;39
23/07/2025;PHOTOCELL SENSOR ERROR;"MAULANA
RIZKI";GANTI BEARING IMPRESSION ROLL;TIDAK;91
18/02/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"MAULANA
PEPEN
ALIF";ADJUSTMENT PRINTING PRESSURE;TIDAK;16
26/01/2025;GEAR BOX FEEDER PROBLEM;"FIKRI
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;11
16/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;ALIF;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;10
22/05/2025;PHOTOCELL SENSOR ERROR;AGUS;PERBAIKAN WIRING FEEDER;TIDAK;10
31/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BUDI;GANTI BEARING IMPRESSION ROLL;TIDAK;19
23/09/2025;PRINTING BOTAK;"RIZKI
INDARYONO
BENJHONSON";GANTI BEARING IMPRESSION ROLL;TIDAK;26
07/11/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"DEDI
RIZKI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;25
20/07/2025;FEEDER ELEKTRIK;DEDI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;39
10/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"JOKO
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;YA;20
25/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"PEPEN
RIZKI
ACA";PERBAIKAN WIRING FEEDER;TIDAK;64
01/04/2025;PHOTOCELL SENSOR ERROR;"RIZKI
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;TIDAK;16
14/11/2024;PRINTING BOTAK;SAMSUL;PERBAIKAN WIRING FEEDER;YA;176
06/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
BUDI";GANTI BEARING IMPRESSION ROLL;YA;33
23/01/2025;GEAR BOX FEEDER PROBLEM;SAMSUL;PERBAIKAN WIRING FEEDER;TIDAK;10
16/11/2024;PRINTING BOTAK;"RIZKI
ALIF";GANTI BEARING IMPRESSION ROLL;TIDAK;8
26/09/2025;FEEDER ELEKTRIK;"RIZKI
ALIF";CLEANING & ADJUSTMENT PREFEEDER;YA;29
20/06/2025;PRINTING BOTAK;FIKRI;ADJUSTMENT PRINTING PRESSURE;YA;17
10/02/2025;GEAR BOX FEEDER PROBLEM;"DEDI
JOKO";ADJUSTMENT PRINTING PRESSURE;YA;35
12/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BUDI;PERBAIKAN WIRING FEEDER;TIDAK;29
22/10/2024;PHOTOCELL SENSOR ERROR;"MAULANA
BUDI";ADJUSTMENT PRINTING PRESSURE;YA;19
05/09/2025;PREFEEDER FLEXO 4 ABNORMAL;"AGUS
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;10
14/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"DEDI
JOKO";GANTI OIL GEAR BOX;YA;6
16/02/2025;PHOTOCELL SENSOR ERROR;"BUDI
JOKO
ALIF";GANTI OIL GEAR BOX;TIDAK;14
05/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
BENJHONSON";GANTI OIL GEAR BOX;TIDAK;40
26/12/2024;GEAR BOX FEEDER PROBLEM;JOKO;PERBAIKAN PNEUMATIC FRAME LOCK;YA;24
16/04/2025;PREFEEDER FLEXO 4 ABNORMAL;"ACA
INDARYONO
DEDI";GANTI BEARING IMPRESSION ROLL;YA;7
29/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;JOKO;CLEANING & ADJUSTMENT PREFEEDER;YA;23
30/05/2025;PRINTING BOTAK;"AGUS
PEPEN";CLEANING & ADJUSTMENT PREFEEDER;YA;27
11/10/2024;FEEDER ELEKTRIK;"SAMSUL
AGUS";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;10
26/06/2025;PREFEEDER FLEXO 4 ABNORMAL;RIZKI;GANTI OIL GEAR BOX;TIDAK;23
24/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
RIZKI
ACA";GANTI OIL GEAR BOX;TIDAK;21
20/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ALIF
SAMSUL";GANTI BEARING IMPRESSION ROLL;TIDAK;8
20/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;TIDAK;27
25/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"SAMSUL
ALIF";PERBAIKAN WIRING FEEDER;TIDAK;31
25/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;AGUS;ADJUSTMENT PRINTING PRESSURE;TIDAK;48
05/09/2024;FEEDER ELEKTRIK;"FIKRI
DEDI
INDARYONO";PERBAIKAN WIRING FEEDER;TIDAK;46
25/01/2025;PHOTOCELL SENSOR ERROR;SAMSUL;GANTI BEARING IMPRESSION ROLL;YA;7
23/07/2025;PREFEEDER FLEXO 4 ABNORMAL;"ACA
AGUS";GANTI OIL GEAR BOX;YA;9
19/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"AGUS
INDARYONO
ACA";ADJUSTMENT PRINTING PRESSURE;YA;30
24/06/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
MAULANA
ACA";GANTI BEARING IMPRESSION ROLL;TIDAK;30
29/11/2024;PREFEEDER FLEXO 4 ABNORMAL;FIKRI;PERBAIKAN WIRING FEEDER;TIDAK;30
30/05/2025;FEEDER ELEKTRIK;PEPEN;GANTI BEARING IMPRESSION ROLL;TIDAK;436
30/01/2025;GEAR BOX FEEDER PROBLEM;FIKRI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;32
09/10/2024;PREFEEDER FLEXO 4 ABNORMAL;AGUS;GANTI OIL GEAR BOX;TIDAK;50
13/06/2025;IMPRESSION FEED ROLL F4 ABNORMAL;FIKRI;ADJUSTMENT PRINTING PRESSURE;YA;43
14/01/2025;FEEDER ELEKTRIK;RIZKI;GANTI BEARING IMPRESSION ROLL;TIDAK;34
