Date;ITEM UNIT;ISSUE;IMPACT;ACTION PLAN;EKSEKUTOR;PELAKSANA PERBAIKAN;REMARK;DURATION_MINUTES
12/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
BENJHONSON";;DONE;68
02/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
ERWAN
SAHRUL";;DONE;62
22/11/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
ERWAN";;DONE;30
25/09/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BOWO
ACA";;DONE;99
07/08/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;MAULANA;;DONE;132
02/09/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ERWAN
ZAINAL";;DONE;124
04/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;SAHRUL;;DONE;138
13/10/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
PEPEN
ERWAN";;DONE;78
05/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ECIN
SAHRUL";;DONE;117
05/05/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;MAULANA;;DONE;124
27/05/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ECIN;;DONE;121
01/03/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ERWAN;;DONE;140
18/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ZAINAL
INDARYONO";;DONE;174
15/03/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"RICKY
BENJHONSON
INDARYONO";;DONE;188
19/12/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;;DONE;39
20/12/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"NANDA A
BENJHONSON
ALIF";;DONE;66
19/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
ERWAN";;DONE;41
31/03/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;;DONE;118
27/09/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
NANDA A
MAULANA";;DONE;70
11/11/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
SAHRUL";;DONE;172
21/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ZAINAL;;DONE;105
01/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
ECIN";;DONE;134
17/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ZAINAL
BENJHONSON";;DONE;136
16/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ERWAN
MAULANA";;DONE;118
23/06/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;;DONE;125
12/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ZAINAL
BOWO";;DONE;156
09/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ACA;;DONE;167
15/09/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"SAHRUL
ALIF";;DONE;93
29/06/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;BENJHONSON;;DONE;79
15/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ERWAN;;DONE;117
16/06/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;PEPEN;;DONE;43
10/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BOWO;;DONE;53
19/02/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ACA
ALIF
MAULANA";;DONE;76
12/12/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ZAINAL
ACA";;DONE;152
17/11/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ECIN
INDARYONO";;DONE;153
19/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
MAULANA";;DONE;149
05/06/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ZAINAL
INDARYONO
ACA";;DONE;60
03/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;PEPEN;;DONE;109
24/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RICKY
MAULANA";;DONE;43
06/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ALIF
MAULANA
BOWO";;DONE;108
16/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"RICKY
ECIN
ALIF";;DONE;114
18/12/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"SAHRUL
INDARYONO
BENJHONSON";;DONE;94
07/08/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"SAHRUL
RICKY
ERWAN";;DONE;77
14/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"RICKY
SAHRUL";;DONE;132
20/03/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ERWAN;;DONE;114
18/11/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
ALIF
INDARYONO";;DONE;164
29/10/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;BENJHONSON;;DONE;122
01/08/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ACA;;DONE;88
25/10/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PEPEN;;DONE;23
25/05/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"BENJHONSON
SAHRUL
INDARYONO";;DONE;167
26/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;RICKY;;DONE;91
06/08/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ECIN
BOWO
MAULANA";;DONE;30
04/09/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;PEPEN;;DONE;30
22/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
BOWO";;DONE;78
10/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;;DONE;118
11/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ERWAN
BENJHONSON
MAULANA";;DONE;132
11/01/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"RICKY
ZAINAL
ECIN";;DONE;148
09/06/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ECIN
NANDA A";;DONE;156
26/10/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"NANDA A
BOWO";;DONE;84
07/02/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
ECIN
NANDA A";;DONE;107
15/07/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;;DONE;49
07/08/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
BENJHONSON";;DONE;80
13/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
ECIN
MAULANA";;DONE;110
13/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
ZAINAL";;DONE;188
13/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;;DONE;84
26/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ZAINAL;;DONE;187
18/01/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
BENJHONSON
RICKY";;DONE;103
10/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;;DONE;143
06/12/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"SAHRUL
ECIN
INDARYONO";;DONE;140
11/05/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ALIF
BOWO
RICKY";;DONE;230
27/09/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAHRUL;;DONE;98
25/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
ALIF";;DONE;105
18/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
BENJHONSON";;DONE;160
19/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;;DONE;20
25/05/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;RICKY;;DONE;108
07/04/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
NANDA A
INDARYONO";;DONE;184
15/09/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ALIF
INDARYONO";;DONE;143
08/10/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;;DONE;73
24/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
ZAINAL";;DONE;55
24/10/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;;DONE;46
10/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
ECIN";;DONE;22
26/11/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ERWAN
INDARYONO
MAULANA";;DONE;144
17/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
BENJHONSON";;DONE;44
24/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BENJHONSON
ACA
ALIF";;DONE;121
31/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BOWO
BENJHONSON";;DONE;56
20/03/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ECIN;;DONE;123
16/09/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BOWO
MAULANA";;DONE;79
02/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BENJHONSON
ACA
ZAINAL";;DONE;165
